國文,英文,數學,社會,自然
9,8,12,8,10
8,10,15,12,11
11,15,10,13,9
10,12,6,14,8
9,13,15,13,7
7,7,7,9,7
9,15,6,12,15
10,11,8,11,12
9,6,14,13,13
13,15,13,10,7
9,8,6,14,11
9,15,13,15,6
8,15,15,15,11
13,6,12,7,6
13,8,6,8,15
13,15,13,13,10
13,7,14,8,10
9,12,15,6,8
7,9,11,14,10
15,8,15,8,15
14,15,13,13,13
8,8,12,7,14
6,9,7,9,14
13,9,11,15,10
14,13,13,12,14
8,15,11,10,9
15,14,6,6,15
15,15,15,14,13
8,15,14,12,15
7,10,8,14,8
8,8,15,10,11
12,11,11,10,6
13,14,13,7,11
12,12,11,9,14
15,13,13,7,7
13,12,11,12,14
11,6,6,9,15
12,12,8,12,12
6,9,11,12,12
12,6,12,8,15
6,7,9,9,13
15,15,11,10,15
6,9,13,15,9
6,6,7,15,12
15,8,7,13,9
9,14,15,7,10
8,12,13,12,14
8,12,15,12,11
6,11,10,14,7
9,13,8,10,13
9,8,13,7,7
10,6,15,12,9
15,10,9,14,11
13,8,9,14,8
9,15,11,9,14
6,7,10,10,13
15,15,8,11,12
13,9,7,10,12
6,8,10,7,11
12,12,11,9,12
8,8,13,7,7
11,14,7,10,7
10,14,9,11,8
8,7,15,14,11
9,6,9,13,8
9,9,11,6,12
13,9,12,6,7
14,11,14,6,15
6,10,6,9,15
7,6,7,7,6
8,7,13,6,15
12,9,7,13,14
13,11,9,12,11
7,7,11,7,13
10,12,7,9,6
8,6,13,12,8
14,13,7,7,10
14,11,14,11,8
8,15,9,15,7
10,6,9,9,7
12,12,14,6,8
12,7,11,12,10
14,13,7,10,10
14,6,10,6,7
12,14,15,10,11
15,6,7,8,8
13,10,8,6,8
15,10,13,9,9
6,6,15,14,10
10,14,10,9,14
9,7,10,6,13
6,14,10,14,15
11,8,11,14,10
9,13,8,13,10
9,6,15,15,6
6,15,7,6,6
15,10,13,7,13
14,14,10,9,6
13,13,6,8,13
6,7,6,13,6
